Key,County,All People,White British,White Irish,Other White,White and Black Caribbean,White and Black African,White and Black Asian,Other Mixed,Indian,Pakistani,Bangladeshi,Other Asian,Caribbean,African,Other Black,Chinese,Other Ethnic Groups,
"12","Cambridgeshire",552658,502876,4902,22386,1317,658,1943,1803,3617,1313,1269,1124,1279,1365,583,3667,2556,
"13","Cheshire",673788,648887,5473,8434,1102,433,1238,944,1562,600,630,544,530,431,115,1826,1039,
